family,m,cond
poly,2,11.591553457059497
poly,4,1210.3830070574347
poly,6,187488.94022195347
poly,8,67217446.67353906
poly,10,34546585438.87651
clamped,4,5.052018587714945
clamped,6,6.478335493279364
clamped,8,6.507672636371483
clamped,10,6.751181601819614
legacy,4,40.26126074981862
legacy,6,99.40044633714751
legacy,8,203.5655171229036
legacy,10,409.4721392889805
