variant,iters,rel_err,min_eig,nInc
poly4,1045,0.12793950222602463,1.0244208111078672,310
poly6,1837,0.03395271642519559,0.34370818958362187,206
bs4,1005,0.14200824944337306,1.1158588804024097,0
bs6,1795,0.0370839167889274,0.39546243464334235,0
bs4old,983,0.12494430850959115,0.9439085484762247,332
